Group Starts,Avg - Delay (Peace Arch South NEXUS),Avg - Delay (Peace Arch South Cars),Avg - Delay (Peace Arch North Cars),Avg - Delay (Peace Arch North NEXUS)
2013-01-05 00:00:00,,0.6,4.1,
2013-01-05 01:00:00,,0.0,0.0,
2013-01-05 02:00:00,,0.0,0.0,
2013-01-05 03:00:00,,0.0,0.0,
2013-01-05 04:00:00,,0.0,0.0,
2013-01-05 05:00:00,,1.1,0.0,
2013-01-05 06:00:00,0.0,1.8,0.0,
2013-01-05 07:00:00,0.3,0.5,1.8,0.0
2013-01-05 08:00:00,8.3,14.8,0.0,0.0
2013-01-05 09:00:00,4.1,31.8,0.0,0.0
2013-01-05 10:00:00,5.8,35.0,0.0,0.0
2013-01-05 11:00:00,10.1,46.8,14.8,0.0
2013-01-05 12:00:00,8.6,40.2,5.9,0.0
2013-01-05 13:00:00,4.0,35.2,8.4,0.0
2013-01-05 14:00:00,2.7,21.0,5.1,0.0
2013-01-05 15:00:00,3.8,9.8,0.0,0.0
2013-01-05 16:00:00,5.8,9.4,6.0,3.6
2013-01-05 17:00:00,0.0,1.8,10.9,3.8
2013-01-05 18:00:00,0.0,0.3,13.1,3.4
2013-01-05 19:00:00,0.0,0.9,6.9,0.0
2013-01-05 20:00:00,,0.3,1.6,0.0
2013-01-05 21:00:00,,0.0,0.0,0.0
2013-01-05 22:00:00,,0.0,1.1,0.0
2013-01-05 23:00:00,,0.3,2.4,0.0
2013-01-06 00:00:00,,0.3,17.4,
2013-01-06 01:00:00,,0.0,0.0,
2013-01-06 02:00:00,,0.0,0.0,
2013-01-06 03:00:00,,0.0,0.0,
2013-01-06 04:00:00,,0.0,0.0,
2013-01-06 05:00:00,,0.1,0.0,
2013-01-06 06:00:00,0.0,0.3,0.0,
2013-01-06 07:00:00,0.7,6.4,0.0,0.0
2013-01-06 08:00:00,2.7,13.5,0.0,0.0
2013-01-06 09:00:00,1.2,5.4,0.0,0.0
2013-01-06 10:00:00,4.5,5.6,1.3,0.0
2013-01-06 11:00:00,8.0,9.1,5.1,0.0
2013-01-06 12:00:00,10.7,15.1,3.7,1.0
2013-01-06 13:00:00,7.8,17.4,7.9,0.0
2013-01-06 14:00:00,6.8,10.5,5.9,0.0
2013-01-06 15:00:00,0.8,5.2,1.0,0.0
2013-01-06 16:00:00,0.0,1.3,16.8,0.0
2013-01-06 17:00:00,0.0,1.8,40.1,0.0
2013-01-06 18:00:00,0.0,0.8,42.7,0.0
2013-01-06 19:00:00,0.0,0.0,34.8,0.0
2013-01-06 20:00:00,,0.8,7.2,0.0
2013-01-06 21:00:00,,1.0,0.0,0.0
2013-01-06 22:00:00,,0.1,0.0,0.0
2013-01-06 23:00:00,,0.3,0.0,0.0
2013-01-12 00:00:00,,0.3,0.0,
2013-01-12 01:00:00,,0.1,0.0,
2013-01-12 02:00:00,,0.0,0.0,
2013-01-12 03:00:00,,0.0,0.0,
2013-01-12 04:00:00,,0.4,0.0,
2013-01-12 05:00:00,,0.5,0.0,
2013-01-12 06:00:00,0.1,0.6,1.0,
2013-01-12 07:00:00,0.1,0.3,3.9,0.0
2013-01-12 08:00:00,0.2,2.5,1.6,0.0
2013-01-12 09:00:00,5.5,23.2,0.0,0.0
2013-01-12 10:00:00,7.5,22.0,2.5,0.0
2013-01-12 11:00:00,15.7,28.3,0.0,0.3
2013-01-12 12:00:00,7.4,14.6,0.0,4.8
2013-01-12 13:00:00,9.8,21.5,1.3,0.4
2013-01-12 14:00:00,6.2,15.5,0.0,0.0
2013-01-12 15:00:00,1.6,4.4,0.0,0.3
2013-01-12 16:00:00,0.0,1.1,0.0,0.0
2013-01-12 17:00:00,0.0,0.1,12.4,0.0
2013-01-12 18:00:00,0.0,0.0,11.7,0.0
2013-01-12 19:00:00,0.0,4.0,0.0,0.0
2013-01-12 20:00:00,,0.7,1.9,0.0
2013-01-12 21:00:00,,1.3,0.0,0.0
2013-01-12 22:00:00,,0.2,0.0,0.0
2013-01-12 23:00:00,,0.9,0.0,0.0
2013-01-13 00:00:00,,0.2,1.1,
2013-01-13 01:00:00,,0.0,2.1,
2013-01-13 02:00:00,,0.0,0.0,
2013-01-13 03:00:00,,0.0,0.0,
2013-01-13 04:00:00,,0.0,0.0,
2013-01-13 05:00:00,,0.0,0.0,
2013-01-13 06:00:00,0.0,0.3,0.0,
2013-01-13 07:00:00,0.9,9.3,0.0,0.0
2013-01-13 08:00:00,2.3,11.0,0.8,0.0
2013-01-13 09:00:00,1.0,2.0,3.4,0.0
2013-01-13 10:00:00,5.2,7.8,12.9,0.0
2013-01-13 11:00:00,5.1,7.6,11.7,0.0
2013-01-13 12:00:00,5.8,14.9,7.9,0.0
2013-01-13 13:00:00,6.1,21.3,42.9,0.0
2013-01-13 14:00:00,4.5,10.5,25.7,0.0
2013-01-13 15:00:00,2.7,13.4,36.5,0.3
2013-01-13 16:00:00,0.3,10.4,20.2,0.3
2013-01-13 17:00:00,0.0,0.7,22.0,0.8
2013-01-13 18:00:00,0.0,0.8,34.0,0.0
2013-01-13 19:00:00,0.0,0.8,17.6,0.0
2013-01-13 20:00:00,0.0,1.7,0.0,0.0
2013-01-13 21:00:00,0.0,0.7,0.0,0.0
2013-01-13 22:00:00,0.0,0.0,0.0,0.0
2013-01-13 23:00:00,0.0,0.3,0.0,0.0
2013-01-19 00:00:00,,0.0,0.0,
2013-01-19 01:00:00,,0.1,0.0,
2013-01-19 02:00:00,,0.0,0.0,
2013-01-19 03:00:00,,0.0,0.0,
2013-01-19 04:00:00,,0.0,0.0,
2013-01-19 05:00:00,,1.6,0.0,
2013-01-19 06:00:00,0.0,0.4,0.0,
2013-01-19 07:00:00,0.2,2.8,0.0,0.0
2013-01-19 08:00:00,5.1,27.4,2.5,0.0
2013-01-19 09:00:00,6.6,38.9,0.0,0.0
2013-01-19 10:00:00,24.8,39.8,1.1,0.0
2013-01-19 11:00:00,16.0,32.8,24.9,0.6
2013-01-19 12:00:00,10.9,27.3,33.8,3.3
2013-01-19 13:00:00,1.5,8.8,29.8,3.8
2013-01-19 14:00:00,10.5,14.4,23.1,0.3
2013-01-19 15:00:00,5.6,7.3,15.8,1.4
2013-01-19 16:00:00,0.0,4.6,23.3,0.9
2013-01-19 17:00:00,0.0,2.1,26.3,0.0
2013-01-19 18:00:00,0.0,0.3,43.9,0.0
2013-01-19 19:00:00,0.0,0.3,37.5,0.0
2013-01-19 20:00:00,,0.1,14.9,0.0
2013-01-19 21:00:00,,0.1,6.1,0.0
2013-01-19 22:00:00,,0.4,0.0,0.0
2013-01-19 23:00:00,,0.1,0.0,0.0
2013-01-20 00:00:00,,0.2,0.0,
2013-01-20 01:00:00,,0.0,0.0,
2013-01-20 02:00:00,,0.0,0.0,
2013-01-20 03:00:00,,0.0,0.0,
2013-01-20 04:00:00,,0.0,0.0,
2013-01-20 05:00:00,,0.0,0.0,
2013-01-20 06:00:00,0.0,0.2,0.0,
2013-01-20 07:00:00,0.6,5.4,0.0,0.0
2013-01-20 08:00:00,1.5,6.1,0.0,0.0
2013-01-20 09:00:00,1.3,4.8,0.0,0.0
2013-01-20 10:00:00,11.5,18.5,0.0,0.0
2013-01-20 11:00:00,5.6,14.8,0.0,0.0
2013-01-20 12:00:00,17.2,13.8,0.0,0.0
2013-01-20 13:00:00,2.6,21.3,2.9,0.0
2013-01-20 14:00:00,2.3,21.8,17.8,0.0
2013-01-20 15:00:00,0.3,11.9,24.1,0.6
2013-01-20 16:00:00,0.1,4.9,27.3,0.3
2013-01-20 17:00:00,0.0,1.6,33.3,0.6
2013-01-20 18:00:00,0.0,4.7,37.7,0.0
2013-01-20 19:00:00,0.0,4.0,28.7,0.0
2013-01-20 20:00:00,,1.3,0.0,0.0
2013-01-20 21:00:00,,1.8,2.5,0.0
2013-01-20 22:00:00,,1.1,1.3,0.0
2013-01-20 23:00:00,,0.3,0.0,0.0
2013-01-26 00:00:00,,0.3,0.0,
2013-01-26 01:00:00,,0.1,1.3,
2013-01-26 02:00:00,,0.0,0.0,
2013-01-26 03:00:00,,0.0,0.0,
2013-01-26 04:00:00,,0.0,0.0,
2013-01-26 05:00:00,,0.3,0.0,
2013-01-26 06:00:00,0.0,0.5,0.0,
2013-01-26 07:00:00,0.3,7.9,0.0,0.0
2013-01-26 08:00:00,11.2,30.5,,0.0
2013-01-26 09:00:00,13.8,47.8,,0.0
2013-01-26 10:00:00,8.7,38.2,,0.0
2013-01-26 11:00:00,7.7,41.4,5.7,0.0
2013-01-26 12:00:00,5.5,27.2,5.9,0.0
2013-01-26 13:00:00,4.4,21.9,9.6,0.0
2013-01-26 14:00:00,2.8,15.7,3.1,0.3
2013-01-26 15:00:00,0.2,4.4,18.4,0.0
2013-01-26 16:00:00,0.5,7.8,40.6,0.0
2013-01-26 17:00:00,0.3,5.3,44.3,0.9
2013-01-26 18:00:00,0.0,0.4,57.3,3.3
2013-01-26 19:00:00,0.0,0.5,36.0,4.4
2013-01-26 20:00:00,,0.1,13.8,6.0
2013-01-26 21:00:00,,0.0,5.8,0.0
2013-01-26 22:00:00,,0.9,0.0,0.0
2013-01-26 23:00:00,,1.6,0.0,0.0
2013-01-27 00:00:00,,0.4,0.0,
2013-01-27 01:00:00,0.0,0.0,0.0,
2013-01-27 02:00:00,0.0,0.0,0.0,
2013-01-27 03:00:00,0.0,0.0,0.0,
2013-01-27 04:00:00,0.0,0.0,0.0,
2013-01-27 05:00:00,0.0,0.0,0.0,
2013-01-27 06:00:00,,0.8,0.0,
2013-01-27 07:00:00,,12.6,0.0,0.0
2013-01-27 08:00:00,,9.7,0.0,0.0
2013-01-27 09:00:00,,15.8,0.0,0.0
2013-01-27 10:00:00,,20.8,1.3,0.0
2013-01-27 11:00:00,12.1,28.3,0.0,0.4
2013-01-27 12:00:00,19.4,42.8,0.0,0.3
2013-01-27 13:00:00,7.8,39.3,5.9,0.0
2013-01-27 14:00:00,3.8,36.3,13.1,0.0
2013-01-27 15:00:00,1.8,20.5,27.1,0.0
2013-01-27 16:00:00,0.2,6.8,44.7,0.9
2013-01-27 17:00:00,0.0,1.9,51.3,9.9
2013-01-27 18:00:00,,0.9,39.8,0.6
2013-01-27 19:00:00,,0.4,22.5,0.0
2013-01-27 20:00:00,,1.5,0.0,0.0
2013-01-27 21:00:00,,1.1,0.0,0.0
2013-01-27 22:00:00,,0.6,0.0,0.0
2013-01-27 23:00:00,,0.1,0.0,0.0
2013-02-02 00:00:00,,0.1,0.0,0.0
2013-02-02 01:00:00,,0.0,0.0,
2013-02-02 02:00:00,,0.1,0.0,
2013-02-02 03:00:00,,0.0,0.0,
2013-02-02 04:00:00,,0.0,0.0,
2013-02-02 05:00:00,,0.0,0.0,
2013-02-02 06:00:00,0.2,0.0,0.0,
2013-02-02 07:00:00,1.8,2.2,13.7,0.0
2013-02-02 08:00:00,3.7,12.0,12.7,0.0
2013-02-02 09:00:00,18.7,28.2,3.5,0.0
2013-02-02 10:00:00,8.8,35.8,,0.0
2013-02-02 11:00:00,12.0,46.0,,2.5
2013-02-02 12:00:00,14.3,33.9,,0.0
2013-02-02 13:00:00,3.8,26.7,,0.0
2013-02-02 14:00:00,14.0,18.0,,0.0
2013-02-02 15:00:00,1.9,6.2,,0.9
2013-02-02 16:00:00,5.3,18.5,23.0,0.7
2013-02-02 17:00:00,0.3,9.0,35.7,6.6
2013-02-02 18:00:00,0.0,6.2,38.4,1.3
2013-02-02 19:00:00,0.0,1.8,38.6,0.0
2013-02-02 20:00:00,,0.8,24.7,0.0
2013-02-02 21:00:00,,1.9,8.7,0.0
2013-02-02 22:00:00,,0.2,0.0,0.0
2013-02-02 23:00:00,,1.4,0.0,0.0
2013-02-03 00:00:00,,1.3,1.8,0.0
2013-02-03 01:00:00,,0.2,0.0,
2013-02-03 02:00:00,,0.0,0.0,
2013-02-03 03:00:00,,0.7,0.0,
2013-02-03 04:00:00,,0.7,0.0,
2013-02-03 05:00:00,,0.1,0.0,
2013-02-03 06:00:00,,0.1,0.0,
2013-02-03 07:00:00,,7.6,0.0,0.0
2013-02-03 08:00:00,1.3,6.7,0.0,0.0
2013-02-03 09:00:00,0.0,1.4,0.0,0.0
2013-02-03 10:00:00,7.2,11.2,0.0,0.0
2013-02-03 11:00:00,3.7,11.6,2.8,0.0
2013-02-03 12:00:00,11.8,20.0,10.8,3.1
2013-02-03 13:00:00,9.9,30.3,12.7,0.0
2013-02-03 14:00:00,6.3,21.1,10.8,0.0
2013-02-03 15:00:00,2.0,2.8,37.1,0.0
2013-02-03 16:00:00,0.0,1.5,42.5,0.0
2013-02-03 17:00:00,0.0,1.3,43.4,0.0
2013-02-03 18:00:00,0.0,1.9,37.8,0.0
2013-02-03 19:00:00,0.0,1.3,29.4,0.0
2013-02-03 20:00:00,,1.1,5.9,0.0
2013-02-03 21:00:00,,3.1,0.0,0.0
2013-02-03 22:00:00,,1.7,0.0,0.0
2013-02-03 23:00:00,,0.3,0.0,0.0
2013-02-09 00:00:00,,0.4,0.0,0.0
2013-02-09 01:00:00,,0.0,1.3,
2013-02-09 02:00:00,,0.0,0.0,
2013-02-09 03:00:00,,0.0,0.0,
2013-02-09 04:00:00,,0.0,0.0,
2013-02-09 05:00:00,,1.9,0.0,
2013-02-09 06:00:00,0.3,2.3,0.0,
2013-02-09 07:00:00,4.9,33.9,7.3,0.0
2013-02-09 08:00:00,20.0,54.6,1.1,0.0
2013-02-09 09:00:00,23.3,66.5,10.9,0.0
2013-02-09 10:00:00,21.5,62.9,1.6,0.0
2013-02-09 11:00:00,11.1,55.7,18.6,0.6
2013-02-09 12:00:00,7.3,42.3,5.0,0.0
2013-02-09 13:00:00,6.7,47.6,0.0,0.0
2013-02-09 14:00:00,3.8,25.8,2.4,0.0
2013-02-09 15:00:00,5.3,6.4,12.7,0.0
2013-02-09 16:00:00,1.6,13.4,15.0,0.0
2013-02-09 17:00:00,0.0,5.2,11.2,0.0
2013-02-09 18:00:00,0.0,1.3,1.8,0.0
2013-02-09 19:00:00,0.0,3.3,23.3,0.0
2013-02-09 20:00:00,,3.1,14.7,0.0
2013-02-09 21:00:00,,2.5,0.0,0.0
2013-02-09 22:00:00,,0.7,0.0,0.0
2013-02-09 23:00:00,,3.7,0.0,0.0
2013-02-10 00:00:00,,2.6,0.0,0.0
2013-02-10 01:00:00,,1.0,4.3,
2013-02-10 02:00:00,,0.0,0.0,
2013-02-10 03:00:00,,0.0,0.0,
2013-02-10 04:00:00,,0.0,0.0,
2013-02-10 05:00:00,,0.6,0.0,
2013-02-10 06:00:00,0.0,1.6,0.0,
2013-02-10 07:00:00,3.1,29.9,0.0,0.0
2013-02-10 08:00:00,4.3,36.4,0.0,0.0
2013-02-10 09:00:00,18.7,52.3,0.0,0.0
2013-02-10 10:00:00,23.3,58.8,1.6,0.0
2013-02-10 11:00:00,7.3,60.4,0.0,0.0
2013-02-10 12:00:00,4.0,52.2,0.0,0.0
2013-02-10 13:00:00,5.3,50.9,0.0,0.0
2013-02-10 14:00:00,16.3,48.6,2.8,0.0
2013-02-10 15:00:00,10.5,33.1,0.0,0.0
2013-02-10 16:00:00,4.3,12.8,16.1,1.0
2013-02-10 17:00:00,0.3,2.3,19.8,1.8
2013-02-10 18:00:00,0.5,1.4,30.1,1.6
2013-02-10 19:00:00,0.1,3.1,50.3,2.7
2013-02-10 20:00:00,0.0,1.4,52.4,3.1
2013-02-10 21:00:00,0.0,3.6,48.4,9.9
2013-02-10 22:00:00,0.0,2.3,17.9,5.3
2013-02-10 23:00:00,0.0,0.8,0.0,0.0
2013-02-16 00:00:00,,0.4,,
2013-02-16 01:00:00,,0.2,,
2013-02-16 02:00:00,,0.1,,
2013-02-16 03:00:00,,0.0,,
2013-02-16 04:00:00,,0.0,,
2013-02-16 05:00:00,,1.0,,
2013-02-16 06:00:00,0.0,1.8,,
2013-02-16 07:00:00,5.3,8.7,,
2013-02-16 08:00:00,3.5,28.5,,
2013-02-16 09:00:00,2.6,33.0,,
2013-02-16 10:00:00,8.3,37.0,48.8,0.0
2013-02-16 11:00:00,11.2,35.6,59.0,1.8
2013-02-16 12:00:00,5.4,25.4,60.9,7.8
2013-02-16 13:00:00,6.9,24.0,57.0,0.0
2013-02-16 14:00:00,10.0,16.6,41.9,1.0
2013-02-16 15:00:00,5.7,13.4,36.2,2.7
2013-02-16 16:00:00,7.8,11.5,42.8,3.9
2013-02-16 17:00:00,1.3,3.3,47.0,0.9
2013-02-16 18:00:00,0.0,1.4,57.0,1.6
2013-02-16 19:00:00,0.0,4.5,49.7,1.2
2013-02-16 20:00:00,,4.6,37.5,5.8
2013-02-16 21:00:00,,1.9,12.3,5.1
2013-02-16 22:00:00,,0.3,0.0,0.0
2013-02-16 23:00:00,,4.2,0.0,1.5
2013-02-17 00:00:00,,4.1,0.0,0.0
2013-02-17 01:00:00,,0.7,0.0,
2013-02-17 02:00:00,,0.0,0.0,
2013-02-17 03:00:00,,0.0,0.0,
2013-02-17 04:00:00,,0.0,0.0,
2013-02-17 05:00:00,,0.5,0.0,
2013-02-17 06:00:00,0.0,0.4,0.0,
2013-02-17 07:00:00,3.3,13.9,0.0,0.0
2013-02-17 08:00:00,6.0,25.7,2.5,0.0
2013-02-17 09:00:00,7.5,27.1,7.3,0.0
2013-02-17 10:00:00,7.3,29.3,13.6,0.0
2013-02-17 11:00:00,3.9,24.6,41.5,0.3
2013-02-17 12:00:00,7.1,23.8,51.7,2.8
2013-02-17 13:00:00,11.5,30.3,64.5,0.0
2013-02-17 14:00:00,6.0,32.3,56.8,0.0
2013-02-17 15:00:00,5.5,27.6,36.6,0.8
2013-02-17 16:00:00,2.2,15.9,44.6,6.4
2013-02-17 17:00:00,2.1,15.0,46.6,3.9
2013-02-17 18:00:00,0.0,4.4,53.3,3.9
2013-02-17 19:00:00,0.2,8.5,52.3,3.8
2013-02-17 20:00:00,0.2,2.7,31.9,5.3
2013-02-17 21:00:00,0.0,0.9,5.4,0.0
2013-02-17 22:00:00,0.0,5.8,0.0,0.0
2013-02-17 23:00:00,0.0,2.5,2.5,0.0
2013-02-23 00:00:00,,0.0,1.4,0.0
2013-02-23 01:00:00,,0.0,7.8,
2013-02-23 02:00:00,,0.3,0.0,
2013-02-23 03:00:00,,0.0,0.0,
2013-02-23 04:00:00,,0.0,0.0,
2013-02-23 05:00:00,,0.2,0.0,
2013-02-23 06:00:00,0.1,0.4,8.0,
2013-02-23 07:00:00,4.2,3.3,24.2,0.0
2013-02-23 08:00:00,3.5,26.8,13.5,0.0
2013-02-23 09:00:00,6.1,35.3,4.1,0.0
2013-02-23 10:00:00,9.8,28.6,0.0,0.0
2013-02-23 11:00:00,5.1,33.6,8.8,1.4
2013-02-23 12:00:00,6.5,37.1,20.3,0.6
2013-02-23 13:00:00,17.1,35.5,15.5,0.0
2013-02-23 14:00:00,21.5,27.2,14.9,0.0
2013-02-23 15:00:00,4.4,20.3,5.3,0.3
2013-02-23 16:00:00,6.0,17.9,3.0,0.0
2013-02-23 17:00:00,3.5,19.3,9.9,0.0
2013-02-23 18:00:00,0.8,13.3,20.5,0.0
2013-02-23 19:00:00,0.0,2.8,17.5,0.0
2013-02-23 20:00:00,,1.3,12.0,0.0
2013-02-23 21:00:00,,4.0,6.6,0.0
2013-02-23 22:00:00,,0.9,2.9,0.0
2013-02-23 23:00:00,,2.3,0.0,0.0
2013-02-24 00:00:00,,0.1,2.8,0.0
2013-02-24 01:00:00,,0.0,0.0,
2013-02-24 02:00:00,,0.0,0.0,
2013-02-24 03:00:00,,0.0,0.0,
2013-02-24 04:00:00,,0.0,0.0,
2013-02-24 05:00:00,,0.3,0.0,
2013-02-24 06:00:00,,0.3,0.0,
2013-02-24 07:00:00,,8.7,0.8,0.0
2013-02-24 08:00:00,0.7,4.9,0.0,0.0
2013-02-24 09:00:00,5.1,4.4,0.0,0.0
2013-02-24 10:00:00,3.7,2.4,0.0,0.0
2013-02-24 11:00:00,8.0,6.6,4.5,0.3
2013-02-24 12:00:00,11.1,19.9,10.8,0.8
2013-02-24 13:00:00,1.9,26.6,34.8,4.8
2013-02-24 14:00:00,2.0,24.2,18.8,1.7
2013-02-24 15:00:00,0.8,21.1,25.2,0.9
2013-02-24 16:00:00,0.5,2.1,53.6,0.5
2013-02-24 17:00:00,0.0,1.0,45.3,2.1
2013-02-24 18:00:00,0.0,0.0,33.8,2.0
2013-02-24 19:00:00,0.0,0.3,22.2,1.3
2013-02-24 20:00:00,,0.5,6.8,0.0
2013-02-24 21:00:00,,2.1,0.0,0.0
2013-02-24 22:00:00,,0.4,0.0,0.0
2013-02-24 23:00:00,,0.3,0.0,0.0
2013-03-02 00:00:00,,0.3,0.0,0.0
2013-03-02 01:00:00,,0.0,0.0,
2013-03-02 02:00:00,,0.0,0.0,
2013-03-02 03:00:00,,0.0,0.0,
2013-03-02 04:00:00,,0.3,0.0,
2013-03-02 05:00:00,,2.0,0.0,
2013-03-02 06:00:00,1.3,3.7,0.0,
2013-03-02 07:00:00,4.0,19.9,0.0,0.0
2013-03-02 08:00:00,9.9,47.8,1.1,0.0
2013-03-02 09:00:00,2.2,50.9,0.0,0.0
2013-03-02 10:00:00,3.6,46.8,0.0,0.0
2013-03-02 11:00:00,4.1,37.8,10.3,1.3
2013-03-02 12:00:00,3.9,33.6,18.5,2.1
2013-03-02 13:00:00,4.3,23.3,12.3,0.0
2013-03-02 14:00:00,8.6,19.8,3.4,0.0
2013-03-02 15:00:00,7.3,10.8,10.1,0.0
2013-03-02 16:00:00,0.0,3.4,3.8,0.0
2013-03-02 17:00:00,0.0,2.4,11.0,0.8
2013-03-02 18:00:00,0.0,1.8,11.8,1.9
2013-03-02 19:00:00,0.0,1.9,14.4,4.5
2013-03-02 20:00:00,,0.3,10.0,0.7
2013-03-02 21:00:00,,0.3,0.0,0.0
2013-03-02 22:00:00,,1.2,0.0,0.0
2013-03-02 23:00:00,,1.8,0.0,0.0
2013-03-03 00:00:00,,0.1,4.3,0.0
2013-03-03 01:00:00,,0.0,0.0,
2013-03-03 02:00:00,,0.0,0.0,
2013-03-03 03:00:00,,0.0,0.0,
2013-03-03 04:00:00,,0.0,0.0,
2013-03-03 05:00:00,,0.3,0.0,
2013-03-03 06:00:00,,0.8,,
2013-03-03 07:00:00,,20.2,,
